Element Type,OS,Label,Value,Accessibility Label,SnapshotId,Coordinates,screenshot_url,element_udid,package_name,highlighted_image
android.widget.ImageView,android,,,quickActionMenuCloseIcon,314889,"{""x"":91.759,""y"":7.458,""height"":2.625,""width"":5.833}",https://app-accessibility-assets.browserstack.com/3d9e23335c545d0a68e796f756327972adc5af82/screenshot-d618268b.jpeg,5340447-a2a2692e-a790-46f4-8f90-cb7ccb8acaab,com.vfmobileapp,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/314889_5340447-a2a2692e-a790-46f4-8f90-cb7ccb8acaab.jpeg
android.widget.ImageView,android,,,,314889,"{""x"":3.889,""y"":45.417,""height"":1.667,""width"":3.611}",https://app-accessibility-assets.browserstack.com/3d9e23335c545d0a68e796f756327972adc5af82/screenshot-d618268b.jpeg,5711393-6d2e460e-ab19-4f90-b3fc-6f14425c7e56,com.vfmobileapp,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/314889_5711393-6d2e460e-ab19-4f90-b3fc-6f14425c7e56.jpeg
android.widget.ImageView,android,,,,314902,"{""x"":3.889,""y"":7.625,""height"":2.75,""width"":6.111}",https://app-accessibility-assets.browserstack.com/3d9e23335c545d0a68e796f756327972adc5af82/screenshot-601fdc71.jpeg,7065406-f72a92a0-a402-41ca-b572-4c5593a10ddb,com.vfmobileapp,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/314902_7065406-f72a92a0-a402-41ca-b572-4c5593a10ddb.jpeg
android.widget.ImageView,android,,,,314902,"{""x"":90.0,""y"":7.625,""height"":2.75,""width"":6.111}",https://app-accessibility-assets.browserstack.com/3d9e23335c545d0a68e796f756327972adc5af82/screenshot-601fdc71.jpeg,7068289-60ba391b-a4ed-4f08-9fbe-f11774a2b3ca,com.vfmobileapp,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/314902_7068289-60ba391b-a4ed-4f08-9fbe-f11774a2b3ca.jpeg
android.widget.ImageView,android,,,,314902,"{""x"":85.833,""y"":37.542,""height"":2.708,""width"":6.019}",https://app-accessibility-assets.browserstack.com/3d9e23335c545d0a68e796f756327972adc5af82/screenshot-601fdc71.jpeg,7100002-39e23e46-4134-41d1-a5aa-8daece33417c,com.vfmobileapp,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/314902_7100002-39e23e46-4134-41d1-a5aa-8daece33417c.jpeg
android.widget.ImageView,android,,,,314869,"{""x"":3.889,""y"":9.833,""height"":2.75,""width"":6.111}",https://app-accessibility-assets.browserstack.com/3d9e23335c545d0a68e796f756327972adc5af82/screenshot-cec41a7e.jpeg,1124504-a33f454e-8ace-498e-8b8f-c53987d92116,com.vfmobileapp,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/314869_1124504-a33f454e-8ace-498e-8b8f-c53987d92116.jpeg
android.widget.ImageView,android,,,,314869,"{""x"":90.0,""y"":9.833,""height"":2.75,""width"":6.111}",https://app-accessibility-assets.browserstack.com/3d9e23335c545d0a68e796f756327972adc5af82/screenshot-cec41a7e.jpeg,1112011-0707867f-9f53-4a74-b3c2-e6e258d921b7,com.vfmobileapp,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/314869_1112011-0707867f-9f53-4a74-b3c2-e6e258d921b7.jpeg
android.widget.ImageView,android,,,,314869,"{""x"":13.519,""y"":22.333,""height"":35.208,""width"":72.963}",https://app-accessibility-assets.browserstack.com/3d9e23335c545d0a68e796f756327972adc5af82/screenshot-cec41a7e.jpeg,1113933-51a5a7a9-a9cf-4948-b9a7-8e3401708c60,com.vfmobileapp,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/314869_1113933-51a5a7a9-a9cf-4948-b9a7-8e3401708c60.jpeg
android.widget.ImageView,android,,,quickActionMenuCloseIcon,314877,"{""x"":91.759,""y"":7.458,""height"":2.625,""width"":5.833}",https://app-accessibility-assets.browserstack.com/3d9e23335c545d0a68e796f756327972adc5af82/screenshot-40cb0714.jpeg,3891241-37eb4218-9dc5-411f-b43a-fb92fda59a32,com.vfmobileapp,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/314877_3891241-37eb4218-9dc5-411f-b43a-fb92fda59a32.jpeg
android.widget.ImageView,android,,,,314877,"{""x"":3.889,""y"":38.208,""height"":1.625,""width"":3.611}",https://app-accessibility-assets.browserstack.com/3d9e23335c545d0a68e796f756327972adc5af82/screenshot-40cb0714.jpeg,4258343-e6d7e9d8-05ab-478d-92e7-f18114090721,com.vfmobileapp,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/314877_4258343-e6d7e9d8-05ab-478d-92e7-f18114090721.jpeg
